Player1,Player2,P1Wins,tourney_date,tourney_name,tourney_index,tourney_id,match_num,P1_Rank,P2_Rank,P1_Country,P1_Age,P1_Matches_Played,P1_Matches_Won,P1_Matches_Lost,P1_P_Win,P1_P_Sets,P1_Ace_Sets,P1_Elo,P2_Country,P2_Age,P2_Matches_Played,P2_Matches_Won,P2_Matches_Lost,P2_P_Win,P2_P_Sets,P2_Ace_Sets,P2_Elo
Rafael Nadal,Pablo Carreno Busta,1,1/4/2016,Doha,67,2016-0451,270,5,67,ESP,29,80,60,20,0.75,0.699507389,1.093596059,1811.066011,ESP,24,38,14,24,0.368421053,0.444444444,2.04040404,1437.704322
Robin Haase,Aslan Karatsev,1,1/4/2016,Doha,67,2016-0451,271,66,195,NED,28,33,13,20,0.393939394,0.417582418,1.912087912,1483.514116,RUS,22,2,1,1,0.5,0.6,0.8,1436.322114
Marsel Ilhan,Andrey Kuznetsov,0,1/4/2016,Doha,67,2016-0451,272,114,79,TUR,28,21,7,14,0.333333333,0.351851852,2.259259259,1380.381093,RUS,24,20,8,12,0.4,0.42,1.76,1498.707733
Ricardas Berankis,Andreas Seppi,1,1/4/2016,Doha,67,2016-0451,273,85,29,LTU,25,29,11,18,0.379310345,0.43902439,1.926829268,1443.696535,ITA,31,46,23,23,0.5,0.488,2.08,1506.582342
Illya Marchenko,David Ferrer,1,1/4/2016,Doha,67,2016-0451,274,94,7,UKR,27,9,2,7,0.222222222,0.37037037,2.111111111,1502.801522,ESP,33,67,51,16,0.76119403,0.676470588,0.905882353,1710.60282
Teymuraz Gabashvili,Simone Bolelli,1,1/4/2016,Doha,67,2016-0451,275,50,58,RUS,30,36,15,21,0.416666667,0.457446809,2.053191489,1491.220755,ITA,30,50,27,23,0.54,0.535433071,1.692913386,1526.404269
Albert Ramos,Paul Henri Mathieu,0,1/4/2016,Doha,67,2016-0451,276,54,95,ESP,27,38,15,23,0.394736842,0.436170213,1.446808511,1444.841757,FRA,33,17,7,10,0.411764706,0.456521739,1.804347826,1479.484798
Mubarak Shannan Zayid,Jeremy Chardy,0,1/4/2016,Doha,67,2016-0451,277,1512,31,NA,NA,0,0,0,0,0,0,1500,FRA,28,52,25,27,0.480769231,0.503546099,2.815602837,1555.76401
Daniel Munoz de la Nava,Feliciano Lopez,1,1/4/2016,Doha,67,2016-0451,278,75,17,NA,NA,0,0,0,0,0,0,1500,ESP,34,57,31,26,0.543859649,0.548387097,4.612903226,1566.218596
Kyle Edmund,Martin Klizan,1,1/4/2016,Doha,67,2016-0451,279,102,43,GBR,20,5,1,4,0.2,0.2,1.733333333,1480.141047,SVK,26,47,22,25,0.468085106,0.452991453,1.829059829,1450.44431
